ID,rank,scientificName
Aves/Neornithes,clade,"Aves/Neornithes"
Paleognathae,clade,"Paleognathae"
Struthioniformes,order,"Struthioniformes"
Struthionidae,family,"Struthionidae"
Rheiformes,order,"Rheiformes"
Rheidae,family,"Rheidae"
Casuariiformes,order,"Casuariiformes"
Casuariidae,family,"Casuariidae"
Apterygiformes,order,"Apterygiformes"
Apterygidae,family,"Apterygidae"
Aepyornithiformes,order,"Aepyornithiformes"
Aepyornithidae,family,"Aepyornithidae"
Dinornithiformes,order,"Dinornithiformes"
Megalapterygidae,family,"Megalapterygidae"
Dinornithidae,family,"Dinornithidae"
Emeidae,family,"Emeidae"
Lithornithiformes,order,"Lithornithiformes"
Lithornithidae,family,"Lithornithidae"
Tinamiformes,order,"Tinamiformes"
Tinamidae,family,"Tinamidae"
Neognathae,clade,"Neognathae"
Galloanserae,clade,"Galloanserae"
Anseriformes,order,"Anseriformes"
Anhimidae,family,"Anhimidae"
Anseranatidae,family,"Anseranatidae"
Anatidae,family,"Anatidae"
Dendrocygninae,subfamily,"Dendrocygninae"
Stictonettinae,subfamily,"Stictonettinae"
Plectropterinae,subfamily,"Plectropterinae"
Anserinae,subfamily,"Anserinae"
Biziurini,tribe,"Biziurini"
Nettapodini,tribe,"Nettapodini"
Oxyurini,tribe,"Oxyurini"
Anserini,tribe,"Anserini"
Anatinae,subfamily,"Anatinae"
Tadornini,tribe,"Tadornini"
Mergini,tribe,"Mergini"
Cairinini,tribe,"Cairinini"
Callonettini,tribe,"Callonettini"
Aythyini,tribe,"Aythyini"
Anatini,tribe,"Anatini"
'Incertae sedis',subfamily,"'Incertae sedis'"
Galliformes,order,"Galliformes"
Sylviornithidae,family,"Sylviornithidae"
Megapodiidae,family,"Megapodiidae"
Cracidae,family,"Cracidae"
Penelopinae,subfamily,"Penelopinae"
Cracinae,subfamily,"Cracinae"
Ortalidaini,tribe,"Ortalidaini"
Oreophaseini,tribe,"Oreophaseini"
Cracini,tribe,"Cracini"
Numididae,family,"Numididae"
Odontophoridae,family,"Odontophoridae"
Ptilopachinae,subfamily,"Ptilopachinae"
Odontophorinae,subfamily,"Odontophorinae"
Phasianidae,family,"Phasianidae"
Rollulinae,subfamily,"Rollulinae"
Pavoninae,subfamily,"Pavoninae"
Incertae sedis,tribe,"Incertae sedis"
Pavonini,tribe,"Pavonini"
Polyplectronini,tribe,"Polyplectronini"
Gallini,tribe,"Gallini"
Tetraogallini,tribe,"Tetraogallini"
Phasianinae,subfamily,"Phasianinae"
Ithaginini,tribe,"Ithaginini"
Lophophorini,tribe,"Lophophorini"
Tetraonini,tribe,"Tetraonini"
Phasianini,tribe,"Phasianini"
Neoaves,clade,"Neoaves"
Columbimorphae,superorder,"Columbimorphae"
Mesitornithiformes,order,"Mesitornithiformes"
Mesitornithidae,family,"Mesitornithidae"
Pterocliformes,order,"Pterocliformes"
Pteroclidae,family,"Pteroclidae"
Columbiformes,order,"Columbiformes"
Columbidae,family,"Columbidae"
Columbinae,subfamily,"Columbinae"
Zenaidini,tribe,"Zenaidini"
Columbini,tribe,"Columbini"
Claravinae,subfamily,"Claravinae"
Raphinae,subfamily,"Raphinae"
Phabini,tribe,"Phabini"
Raphini,tribe,"Raphini"
Treronini,tribe,"Treronini"
Turturini,tribe,"Turturini"
Ptilinopini,tribe,"Ptilinopini"
Otidimorphae,superorder,"Otidimorphae"
Musophagiformes,order,"Musophagiformes"
Musophagidae,family,"Musophagidae"
Corythaeolinae,subfamily,"Corythaeolinae"
Criniferinae,subfamily,"Criniferinae"
Musophaginae,subfamily,"Musophaginae"
Otidiiformes,order,"Otidiiformes"
Otididae,family,"Otididae"
Cuculiformes,order,"Cuculiformes"
Cuculidae,family,"Cuculidae"
Crotophaginae,subfamily,"Crotophaginae"
