ID,parentID,nameID,status
Aves/Neornithes,,Aves/Neornithes,accepted
Paleognathae,Aves/Neornithes,Paleognathae,accepted
Struthioniformes,Paleognathae,Struthioniformes,accepted
Struthionidae,Struthioniformes,Struthionidae,accepted
Rheiformes,Paleognathae,Rheiformes,accepted
Rheidae,Rheiformes,Rheidae,accepted
Casuariiformes,Paleognathae,Casuariiformes,accepted
Casuariidae,Casuariiformes,Casuariidae,accepted
Apterygiformes,Paleognathae,Apterygiformes,accepted
Apterygidae,Apterygiformes,Apterygidae,accepted
Aepyornithiformes,Paleognathae,Aepyornithiformes,accepted
Aepyornithidae,Aepyornithiformes,Aepyornithidae,accepted
Dinornithiformes,Paleognathae,Dinornithiformes,accepted
Megalapterygidae,Dinornithiformes,Megalapterygidae,accepted
Dinornithidae,Dinornithiformes,Dinornithidae,accepted
Emeidae,Dinornithiformes,Emeidae,accepted
Lithornithiformes,Paleognathae,Lithornithiformes,accepted
Lithornithidae,Lithornithiformes,Lithornithidae,accepted
Tinamiformes,Paleognathae,Tinamiformes,accepted
Tinamidae,Tinamiformes,Tinamidae,accepted
Neognathae,Aves/Neornithes,Neognathae,accepted
Galloanserae,Neognathae,Galloanserae,accepted
Anseriformes,Galloanserae,Anseriformes,accepted
Anhimidae,Anseriformes,Anhimidae,accepted
Anseranatidae,Anseriformes,Anseranatidae,accepted
Anatidae,Anseriformes,Anatidae,accepted
Dendrocygninae,Anatidae,Dendrocygninae,accepted
Stictonettinae,Anatidae,Stictonettinae,accepted
Plectropterinae,Anatidae,Plectropterinae,accepted
Anserinae,Anatidae,Anserinae,accepted
Biziurini,Anserinae,Biziurini,accepted
Nettapodini,Anserinae,Nettapodini,accepted
Oxyurini,Anserinae,Oxyurini,accepted
Anserini,Anserinae,Anserini,accepted
Anatinae,Anatidae,Anatinae,accepted
Tadornini,Anatinae,Tadornini,accepted
Mergini,Anatinae,Mergini,accepted
Cairinini,Anatinae,Cairinini,accepted
Callonettini,Anatinae,Callonettini,accepted
Aythyini,Anatinae,Aythyini,accepted
Anatini,Anatinae,Anatini,accepted
